Camera timestamp,End of utterance,Time delta,[Camera],[Context]
846.9,847.7,0.0,"In the image, there are several customers in the mall. One person is walking towards the camera, wearing a white t-shirt with some text on it. Another person is standing near the entrance of the bakery, wearing a black jacket. There are also other customers in the background, some of whom are walking and others who are standing. The bakery has a sign with a blue and white design, and there is a banner with some text on it. The mall has a modern design with white columns and a curved staircase.",Salesman: みなさん、こんにちは。
848.4,848.4,0.7,"In the image, there are several customers in the mall. One person is wearing a white t-shirt and black pants, and they appear to be walking towards the bakery. Another person is wearing a blue t-shirt and black pants, and they are also walking towards the bakery. There are also other customers in the background, but they are not the main focus of the image.",no utterance is needed
849.1,855.6,0.7,"In the image, there are several customers in the mall. One person is walking towards the entrance of the bakery, wearing a white t-shirt and black pants. Another person is standing near the entrance, wearing a white t-shirt and black pants. There are also other customers in the background, but they are not the main focus of the image. The bakery has a signboard with a cartoon character on it, and there is a banner with Japanese characters hanging on the wall. The overall atmosphere appears to be busy and bustling, typical of a busy mall.",Salesman: マーメイドアバターのかなこです。今日もソルビバベーカリーの美味しいパンをご紹介しますね。
858.2,858.2,2.6,"In the image, there are several customers in the mall. One person is walking towards the camera, carrying a bag and wearing a blue shirt. Another person is walking away from the camera, wearing a white shirt and shorts. There are also other customers in the background, some of whom are carrying bags and walking. The mall has a modern design with a curved staircase and tiled flooring.",no utterance is needed
860.9,863.0,2.6,"In the image, there are several customers in the mall. The person in the foreground is wearing a light-colored dress and has a backpack. Behind them, there are two other individuals, one wearing a dark-colored shirt and the other in a light-colored shirt. There is also a person in the background wearing a light-colored shirt. The mall has a modern design with a white ceiling and tiled flooring.",Salesman: 時刻は16時になりました。
863.6,863.6,0.6,"In the image, there are several customers at the mall. One person is holding an umbrella, wearing a light-colored shirt and brown pants. Another person is wearing a black shirt and shorts, and the third person is wearing a blue outfit with a mask. There is also a person in the background wearing a light-colored shirt and pants. The mall has a modern interior with white walls and a tiled floor.",no utterance is needed
864.2,868.4,0.6,"In the image, there are several customers in the mall. One person is wearing a light-colored outfit with a dark-colored bag, holding an umbrella. Another person is dressed in a light-colored outfit with a dark-colored bag, also holding an umbrella. A third person is wearing a dark-colored outfit with a light-colored bag. There are also other customers in the background, some of whom are wearing light-colored outfits. The mall has a modern interior with a white ceiling and tiled flooring.",Salesman: ソルビバベーカリーにはまだまだ美味しいパンがたくさん並んでますよ。
868.8,868.8,0.4,"In the image, there are two individuals in the mall. The person in the foreground is wearing a gray t-shirt with the text ""STRIKE"" and black shorts. They are carrying a backpack and appear to be walking. The person in the background is wearing a blue outfit and is also carrying a backpack. They are walking towards the bakery.",no utterance is needed
869.3,875.6,0.5,"In the image, there are two individuals in the mall. The person in the foreground is wearing a gray t-shirt with the text ""STILLMADE"" and black shorts. They have blue-colored skin and are standing in front of a bakery. The person in the background is wearing a gray t-shirt and black pants. They are walking towards the bakery.",Salesman: 今日の夕飯やおやつ、明日の朝ご飯にソルビベーカリーパンはいかがですか？
919.4,919.4,43.8,"In the image, there are several customers in the mall. One person is walking towards the camera, holding an umbrella, and appears to be wearing a light-colored jacket. Another person is standing in the background, wearing a dark-colored jacket. There are also other customers in the background, some of whom are also holding umbrellas. The mall has a modern design with a tiled floor and a staircase in the background.",no utterance is needed
963.1,964.3,43.8,"In the image, there are several people in the mall. One person is walking towards the entrance, carrying a suitcase. There are also several other individuals, some of whom are standing and others who are walking. The people are dressed in casual attire, with some wearing shirts and others in shorts and t-shirts. The mall appears to be busy with people, and the atmosphere seems lively.",Salesman: みなさん、こんにちは。
968.6,968.6,4.4,"The image shows an indoor mall with a large, open space featuring a curved staircase leading to an upper level. The area is well-lit with multiple ceiling lights and a few small, round lights. The floor is tiled with a combination of light and dark tiles, creating a patterned look.In the foreground, there is a curved walkway with a railing, leading to a lower level. On this walkway, there are a few people walking, but they are not clearly identifiable due to the distance and angle of the shot. The people appear to be casually dressed, suggesting a relaxed atmosphere.In the background, there are more people walking, and some are carrying bags or shopping bags. The area appears to be bustling with activity, indicating that it is a popular shopping destination. The overall atmosphere is lively and vibrant, typical of a mall setting.",no utterance is needed
973.0,974.6,4.4,"The image shows an indoor mall with a modern design. The floor is tiled with a combination of blue and gray tiles, and there is a curved staircase leading to an upper level. The ceiling is white with circular light fixtures. In front of the bakery, there are a few customers. One person is standing near the entrance, wearing a light-colored shirt and jeans. Another person is walking towards the entrance, dressed in a dark jacket and jeans. There are also a few other individuals in the background, but they are not the main focus of the image. The bakery itself is not visible in the image, but the presence of customers suggests that it is a popular spot for people to visit.",Salesman: マーメイドバターのカナコです。
978.2,978.2,3.6,"The image shows an indoor area of a mall with a curved staircase leading upwards. The floor is tiled with a pattern of blue, white, and gray tiles. There are white railings on both sides of the staircase, and the ceiling is white with recessed lighting.In front of the bakery, there are no visible customers. The bakery is not visible in the image. The area appears to be empty, and there are no people present. The overall atmosphere is quiet and calm, with no indication of any activity or movement.",no utterance is needed
981.8,986.1,3.6,"The image shows an indoor mall with a modern design. In front of a bakery, there are several customers. One person is standing near the entrance, wearing a black shirt and jeans. Another person is walking towards the bakery, dressed in a white shirt and jeans. There are also a few other individuals in the background, but they are not the main focus of the image. The bakery itself appears to be well-lit and clean, with a welcoming atmosphere.",Salesman: 今日もろばベーカリーにはおいしいパンがまだまだたくさん並んでますよ。
991.5,991.5,5.4,"In the image, there are several customers in the mall. One person is walking towards the camera, wearing a light-colored sweater and dark pants. Another person is standing near the entrance of the bakery, wearing a light-colored shirt and dark pants. There are also other customers in the background, but they are not the main focus of the image.",no utterance is needed
997.0,1000.9,5.5,"In the image, there are two customers walking in the mall. The person on the left is wearing a black top and dark pants, and they are carrying a blue bag. The person on the right is wearing a white top and dark pants. Both are walking towards the entrance of the mall.",Salesman: ベーカリーの一番人気あん塩バターパンはいかがでしょうか？
1002.8,1002.8,1.9,"The image shows an indoor space with a curved staircase leading upwards. The floor is tiled with a combination of white and gray tiles, and there are white railings on both sides of the staircase. The ceiling is white with recessed lighting.In front of the bakery at the mall, there are no visible customers. The bakery is not visible in the image, so it is not possible to describe the customers or their attire.",no utterance is needed
1004.7,1013.7,1.9,"The image shows an indoor area of a mall with a curved staircase leading upwards. The floor is tiled with a combination of blue and white tiles, and there is a white railing on the staircase. The ceiling is white with recessed lighting. In front of the bakery, there are a few customers. One person is standing near the entrance of the bakery, wearing a black shirt and a mask. Another person is sitting on a bench, also wearing a black shirt and a mask. There is a banner with some text and an image on it, but the details are not clear from the image. The overall atmosphere appears to be calm and orderly.",Salesman: あん塩バターパン、ごま塩パン、そしてシンプルな味わいの塩パン。どちらもとても人気の潮パンシリーズ皆様。
1014.7,1014.7,1.0,"The image shows an indoor area of a mall with a curved staircase leading upwards. The floor is tiled with a combination of white and gray tiles, and there are white railings on both sides of the staircase. The ceiling is white with recessed lighting.In front of the bakery, there are two people walking towards the entrance. One person is wearing a green shirt, and the other is wearing a white shirt. Both individuals appear to be carrying bags, suggesting they might be shoppers or visitors to the mall. The overall atmosphere seems to be calm and typical of a busy shopping mall.",no utterance is needed
1015.6,1016.6,0.9,"The image shows an indoor space with a curved staircase leading to an exit. The area is well-lit with ceiling lights and has a modern design. There are two people visible in the scene: 1. **Person on the Left**: This person is wearing a green shirt and appears to be walking towards the exit. They are carrying a bag. 2. **Person on the Right**: This person is wearing a white shirt and is also walking towards the exit. They are carrying a bag. The overall atmosphere appears to be calm and orderly, typical of a shopping mall environment.",Salesman: パンがお好きですか？
1018.4,1018.4,1.8,"In the image, there are several customers at the mall. One person is walking towards the entrance of the bakery, wearing a light-colored shirt and shorts. Another person is walking away from the bakery, wearing a dark-colored shirt and pants. There are also two other individuals in the background, one of whom is wearing a white shirt and the other is partially visible. The bakery itself is located in the middle of the mall, with a signboard displaying a colorful design.",no utterance is needed
1020.1,1021.3,1.8,"In the image, there are several customers at the mall. One person is wearing a white shirt and black pants, walking towards the bakery. Another person is wearing a green shirt and blue pants, also walking towards the bakery. There is also a person in a blue shirt and black pants walking in the opposite direction. The bakery is located in the middle of the mall, and there are other customers and people walking around the area.",Salesman: 最初嘘。
1022.3,1022.3,1.0,"In the image, there are several customers at the mall. One person is walking towards the entrance of the bakery, wearing a white shirt and black pants. Another person is walking towards the exit, wearing a green shirt and a backpack. There are also two individuals in the background, one of whom is pushing a shopping cart. The mall has a modern design with a curved staircase and a tiled floor.",no utterance is needed
1023.4,1023.8,1.1,"In the image, there are several customers at the mall. One person is pushing a shopping cart, while another person is walking towards the entrance of the mall. There are also two individuals standing near the entrance, possibly waiting to enter or exit the mall. The customers are wearing casual clothing, including shirts and pants. The mall has a modern design with a combination of white and green elements in the interior.",Salesman: こんにちは。
1024.6,1024.6,0.8,"In the image, there are several customers at the mall. One person is walking towards the camera, wearing a light-colored shirt and a hat. Another person is standing near the entrance of the bakery, wearing a white shirt and a mask. There are also other customers in the background, some of whom are also wearing masks. The bakery has a sign with a logo and some text, but the details are not clear from the image.",no utterance is needed
1025.4,1026.9,0.8,"In the image, there are several customers in the mall. One person is walking towards the camera, wearing a beige jacket, a blue cap, and a face mask. Another person is standing near the escalator, wearing a white shirt and a face mask. There are also other customers in the background, some of whom are also wearing masks. The mall has a modern design with white walls and a curved escalator.",Salesman: マーメイドバターのカナコです。
1027.8,1027.8,0.9,"In the image, there are several customers in the mall. One person is walking towards the camera, wearing a beige jacket and a face mask. Another person is standing on the escalator, wearing a black top and a face mask. There are also other customers in the background, some of whom are also wearing face masks. The mall has a modern design with white walls and a tiled floor.",no utterance is needed
1028.7,1031.8,0.9,"In the image, there are several customers at the bakery at the mall. The customers are wearing various types of clothing and accessories. Here are some details: 1. **Customer 1**: This person is wearing a light-colored shirt and dark pants. They are holding a white bag or suitcase. 2. **Customer 2**: This person is wearing a dark-colored shirt and dark pants. They are also holding a white bag or suitcase. 3. **Customer 3**: This person is wearing a light-colored shirt and dark pants. They are holding a white bag or suitcase. 4. **Customer 4**: This person is wearing a light-colored shirt and dark pants. They are also holding a white bag or suitcase. 5. **Customer 5**: This person is wearing a light-colored shirt and dark pants. They are also holding a white bag or suitcase. The customers appear to be walking or standing in front of the bakery, and they are all wearing protective masks and gloves. The bakery itself is well-lit, and there are other customers and staff members present in the mall.",Salesman: ソルビベーカリーの美味しいパンはいかがですか？
1034.8,1034.8,3.0,"In the image, there are two individuals walking in what appears to be a mall or a shopping center. Both individuals are wearing blue costumes, which resemble the costume of the character Blue from the video game ""The Legend of Zelda: Breath of the Wild."" The person on the left is wearing a brown outfit, while the person on the right is wearing a white outfit. They are walking on a tiled floor with a white railing and a staircase in the background. The mall has a modern design with white pillars and a curved ceiling.",no utterance is needed
1037.7,1038.1,3.0,"In the image, there are two customers in the mall. The person on the left is wearing a brown shirt and dark pants, and they are standing with their hands in their pockets. The person on the right is wearing a white shirt and dark pants, and they are walking with a bag over their shoulder. The mall has a modern design with white columns and a tiled floor. There is also a bakery visible in the background.",Salesman: こんにちは。
1038.8,1038.8,0.7,"In the image, there are two individuals walking in what appears to be a mall or a shopping center. The person in the foreground is wearing a brown shirt and brown pants. The person in the background is wearing a white shirt and dark pants. Both individuals are walking towards the camera. The mall has a modern design with a staircase and a few people visible in the background.",no utterance is needed
1039.5,1041.1,0.7,"In the image, there are two customers in the mall. The person in the foreground is wearing a brown shirt and brown pants. The person in the background is wearing a white shirt and brown pants. Both individuals appear to be walking towards the bakery.",Salesman: マーメイドバターのカナコです。
